净值日期,单位净值,日增长率
2020-03-23,1.0,0.0
2020-03-27,1.0083,0.0
2020-04-03,1.0087,0.0
2020-04-10,1.0229,0.0
2020-04-17,1.0311,0.0
2020-04-24,1.0414,0.0
2020-04-27,1.0419,0.048
2020-04-28,1.0457,0.3647
2020-04-29,1.044,-0.1626
2020-04-30,1.0487,0.4502
2020-05-06,1.0532,0.4291
2020-05-07,1.0597,0.6172
2020-05-08,1.0653,0.5285
2020-05-11,1.0738,0.7979
2020-05-12,1.0749,0.1024
2020-05-13,1.0849,0.9303
2020-05-14,1.0736,-1.0416
2020-05-15,1.0695,-0.3819
2020-05-18,1.0792,0.907
2020-05-19,1.0961,1.566
2020-05-20,1.0879,-0.7481
2020-05-21,1.0831,-0.4412
2020-05-22,1.0584,-2.2805
2020-05-25,1.0603,0.1795
2020-05-26,1.0788,1.7448
2020-05-27,1.0751,-0.343
2020-05-28,1.0874,1.1441
2020-05-29,1.0984,1.0116
2020-06-01,1.1319,3.0499
2020-06-02,1.1234,-0.7509
2020-06-03,1.1294,0.5341
2020-06-04,1.1306,0.1063
2020-06-05,1.1319,0.115
2020-06-08,1.1305,-0.1237
2020-06-09,1.1346,0.3627
2020-06-10,1.1382,0.3173
2020-06-11,1.1241,-1.2388
2020-06-12,1.1301,0.5338
2020-06-15,1.1218,-0.7344
2020-06-16,1.1429,1.8809
2020-06-17,1.1427,-0.0175
2020-06-18,1.1489,0.5426
2020-06-19,1.1633,1.2534
2020-06-22,1.1716,0.7135
2020-06-23,1.1752,0.3073
2020-06-24,1.1865,0.9615
2020-06-29,1.1813,-0.4383
2020-06-30,1.2117,2.5734
2020-07-01,1.2258,1.1637
2020-07-02,1.2454,1.599
2020-07-03,1.2553,0.7949
2020-07-06,1.3119,4.5089
2020-07-07,1.3305,1.4178
2020-07-08,1.3445,1.0522
2020-07-09,1.3536,0.6768
2020-07-10,1.3515,-0.1551
2020-07-13,1.3972,3.3814
2020-07-14,1.3897,-0.5368
2020-07-15,1.3968,0.5109
2020-07-16,1.316,-5.7847
2020-07-17,1.3342,1.383
2020-07-20,1.3693,2.6308
2020-07-21,1.3906,1.5555
2020-07-22,1.4051,1.0427
2020-07-23,1.4071,0.1423
2020-07-24,1.3393,-4.8184
2020-07-27,1.3421,0.2091
2020-07-28,1.3634,1.5871
2020-07-29,1.4016,2.8018
2020-07-30,1.4081,0.4638
2020-07-31,1.4449,2.6135
2020-08-03,1.4711,1.8133
2020-08-04,1.4598,-0.7681
2020-08-05,1.4877,1.9112
2020-08-06,1.484,-0.2487
2020-08-07,1.4863,0.155
2020-08-10,1.4803,-0.4037
2020-08-11,1.4533,-1.824
2020-08-12,1.4398,-0.9289
2020-08-13,1.439,-0.0556
2020-08-14,1.471,2.2238
2020-08-17,1.506,2.3793
2020-08-18,1.5165,0.6972
2020-08-19,1.4886,-1.8398
2020-08-20,1.4631,-1.713
2020-08-21,1.4846,1.4695
2020-08-24,1.5173,2.2
2020-08-25,1.513,-0.28
2020-08-26,1.4759,-2.45
2020-08-27,1.4921,1.1
2020-08-28,1.5173,1.69
2020-08-31,1.5076,-0.64
2020-09-01,1.5036,-0.27
2020-09-02,1.5091,0.37
2020-09-03,1.5097,0.04
2020-09-04,1.4935,-1.07
2020-09-07,1.4611,-2.17
2020-09-08,1.4453,-1.08
2020-09-09,1.3966,-3.37
2020-09-10,1.3805,-1.15
2020-09-11,1.4167,2.62
2020-09-14,1.4293,0.89
2020-09-15,1.444,1.03
2020-09-16,1.4376,-0.44
2020-09-17,1.4537,1.12
2020-09-18,1.4776,1.64
2020-09-21,1.4772,-0.03
2020-09-22,1.4472,-2.03
2020-09-23,1.4515,0.3
2020-09-24,1.4184,-2.28
2020-09-25,1.412,-0.45
2020-09-28,1.4117,-0.02
2020-09-29,1.4345,1.62
2020-09-30,1.4337,-0.06
2020-10-09,1.4873,3.74
2020-10-12,1.5247,2.51
2020-10-13,1.5425,1.17
2020-10-14,1.5316,-0.71
2020-10-15,1.5112,-1.33
2020-10-16,1.48,-2.06
2020-10-19,1.4667,-0.9
2020-10-20,1.4864,1.34
2020-10-21,1.4636,-1.53
2020-10-22,1.4609,-0.18
2020-10-23,1.4298,-2.13
2020-10-26,1.4374,0.53
2020-10-27,1.4497,0.86
2020-10-28,1.4639,0.98
2020-10-29,1.4605,-0.23
2020-10-30,1.4272,-2.28
2020-11-02,1.4427,1.09
2020-11-03,1.4621,1.34
2020-11-04,1.4662,0.28
2020-11-05,1.5154,3.36
2020-11-06,1.5081,-0.48
2020-11-09,1.5345,1.75
2020-11-10,1.5381,0.23
2020-11-11,1.5187,-1.26
2020-11-12,1.5288,0.67
2020-11-13,1.5208,-0.52
2020-11-16,1.5325,0.77
2020-11-17,1.5101,-1.46
2020-11-18,1.5009,-0.61
2020-11-19,1.5218,1.39
2020-11-20,1.5274,0.37
2020-11-23,1.5402,0.84
2020-11-24,1.5568,1.08
2020-11-25,1.5125,-2.85
2020-11-26,1.5151,0.17
2020-11-27,1.5145,-0.04
2020-11-30,1.4962,-1.21
2020-12-01,1.513,1.12
2020-12-02,1.5155,0.17
2020-12-03,1.5163,0.05
2020-12-04,1.5318,1.02
2020-12-07,1.5422,0.68
2020-12-08,1.5545,0.8
2020-12-09,1.5347,-1.27
2020-12-10,1.5343,-0.03
2020-12-11,1.5122,-1.44
2020-12-14,1.5289,1.1
2020-12-15,1.5507,1.43
2020-12-16,1.5494,-0.08
2020-12-17,1.5647,0.99
2020-12-18,1.5662,0.1
2020-12-21,1.5863,1.28
2020-12-22,1.5673,-1.2
2020-12-23,1.5804,0.84
2020-12-24,1.5464,-2.15
2020-12-25,1.5598,0.87
2020-12-28,1.579,1.23
2020-12-29,1.5962,1.09
2020-12-30,1.6099,0.86
2020-12-31,1.6523,2.63
2021-01-04,1.6819,1.79
2021-01-05,1.6948,0.77
2021-01-06,1.6713,-1.39
2021-01-07,1.6674,-0.23
2021-01-08,1.6767,0.56
2021-01-11,1.6532,-1.4
2021-01-12,1.6839,1.86
2021-01-13,1.6873,0.2
2021-01-14,1.6707,-0.98
2021-01-15,1.6721,0.08
2021-01-18,1.7166,2.66
2021-01-19,1.6955,-1.23
2021-01-20,1.7233,1.64
2021-01-21,1.744,1.2
2021-01-22,1.7564,0.71
2021-01-25,1.781,1.4
2021-01-26,1.7426,-2.16
2021-01-27,1.7305,-0.69
2021-01-28,1.6806,-2.88
2021-01-29,1.68,-0.04
2021-02-01,1.7022,1.32
2021-02-02,1.7447,2.5
2021-02-03,1.7343,-0.6
2021-02-04,1.7051,-1.68
2021-02-05,1.6892,-0.93
2021-02-08,1.7092,1.18
2021-02-09,1.7512,2.46
2021-02-10,1.7868,2.03
2021-02-18,1.7575,-1.64
2021-02-19,1.7667,0.52
2021-02-22,1.7375,-1.65
2021-02-23,1.7162,-1.23
2021-02-24,1.6812,-2.04
2021-02-25,1.6659,-0.91
2021-02-26,1.6281,-2.27
2021-03-01,1.6578,1.82
2021-03-02,1.6565,-0.08
2021-03-03,1.6783,1.32
2021-03-04,1.6322,-2.75
2021-03-05,1.6342,0.12
2021-03-08,1.5778,-3.45
2021-03-09,1.5317,-2.92
2021-03-10,1.5348,0.2
2021-03-11,1.5687,2.21
2021-03-12,1.5588,-0.63
2021-03-15,1.5197,-2.51
2021-03-16,1.5274,0.51
2021-03-17,1.5672,2.61
2021-03-18,1.5884,1.35
2021-03-19,1.5783,-0.64
2021-03-22,1.5977,1.23
2021-03-23,1.5875,-0.64
2021-03-24,1.5494,-2.4
2021-03-25,1.5701,1.34
2021-03-26,1.6112,2.62
2021-03-29,1.6256,0.89
2021-03-30,1.6221,-0.22
2021-03-31,1.6184,-0.23
2021-04-01,1.6334,0.93
2021-04-02,1.6408,0.45
2021-04-06,1.634,-0.41
2021-04-07,1.6207,-0.81
2021-04-08,1.6246,0.24
2021-04-09,1.6209,-0.23
2021-04-12,1.6026,-1.13
2021-04-13,1.6065,0.24
2021-04-14,1.6286,1.38
2021-04-15,1.6236,-0.31
2021-04-16,1.6246,0.06
2021-04-19,1.6656,2.52
2021-04-20,1.6627,-0.17
2021-04-21,1.6869,1.46
2021-04-22,1.7037,1.0
2021-04-23,1.6955,-0.48
2021-04-26,1.6754,-1.19
2021-04-27,1.6719,-0.21
2021-04-28,1.6894,1.05
2021-04-29,1.6946,0.31
2021-04-30,1.7006,0.35
2021-05-06,1.6729,-1.63
2021-05-07,1.6341,-2.32
2021-05-10,1.6417,0.47
2021-05-11,1.6555,0.84
2021-05-12,1.648,-0.45
2021-05-13,1.6293,-1.13
2021-05-14,1.6543,1.53
2021-05-17,1.6889,2.09
2021-05-18,1.6905,0.09
2021-05-19,1.6937,0.19
2021-05-20,1.7057,0.71
2021-05-21,1.7252,1.14
2021-05-24,1.7473,1.28
2021-05-25,1.7811,1.93
2021-05-26,1.8021,1.18
2021-05-27,1.8254,1.29
2021-05-28,1.8562,1.69
2021-05-31,1.8624,0.33
2021-06-01,1.8734,0.59
2021-06-02,1.8585,-0.8
2021-06-03,1.8656,0.38
2021-06-04,1.9105,2.41
2021-06-07,1.9224,0.62
2021-06-08,1.9061,-0.85
2021-06-09,1.9181,0.63
2021-06-10,1.9267,0.45
2021-06-11,1.9171,-0.5
2021-06-15,1.9081,-0.47
2021-06-16,1.8589,-2.58
2021-06-17,1.8805,1.16
2021-06-18,1.8906,0.54
2021-06-21,1.9101,1.03
2021-06-22,1.8984,-0.61
2021-06-23,1.9337,1.86
2021-06-24,1.8984,-1.83
2021-06-25,1.9297,1.65
2021-06-28,1.941,0.59
2021-06-29,1.955,0.72
2021-06-30,1.9884,1.71
2021-07-01,1.9699,-0.93
2021-07-02,1.9293,-2.06
2021-07-05,1.9383,0.47
2021-07-06,1.9266,-0.6
2021-07-07,1.9494,1.18
2021-07-08,1.9836,1.75
2021-07-09,1.9566,-1.36
2021-07-12,2.0272,3.61
2021-07-13,2.0498,1.11
2021-07-14,2.054,0.2
2021-07-15,2.0586,0.22
2021-07-16,2.0305,-1.37
2021-07-19,2.0521,1.06
2021-07-20,2.0528,0.03
2021-07-21,2.0812,1.38
2021-07-22,2.0915,0.49
2021-07-23,2.0531,-1.84
2021-07-26,2.0229,-1.47
2021-07-27,1.9637,-2.93
2021-07-28,1.9323,-1.6
2021-07-29,2.0099,4.02
2021-07-30,2.0139,0.2
2021-08-02,2.0646,2.52
2021-08-03,2.066,0.07
2021-08-04,2.1108,2.17
2021-08-05,2.1144,0.17
2021-08-06,2.0876,-1.27
2021-08-09,2.1085,1.0
2021-08-10,2.1374,1.37
2021-08-11,2.1206,-0.79
2021-08-12,2.1392,0.88
2021-08-13,2.1258,-0.63
2021-08-16,2.1025,-1.1
2021-08-17,2.0531,-2.35
2021-08-18,2.0504,-0.13
2021-08-19,2.0602,0.48
2021-08-20,2.0229,-1.81
2021-08-23,2.0741,2.53
2021-08-24,2.109,1.68
2021-08-25,2.0909,-0.86
2021-08-26,2.0399,-2.44
2021-08-27,2.0326,-0.36
2021-08-30,2.025,-0.37
2021-08-31,2.0181,-0.34
2021-09-01,2.0033,-0.73
2021-09-02,1.9915,-0.59
2021-09-03,2.0169,1.28
2021-09-06,2.0543,1.85
2021-09-07,2.0693,0.73
2021-09-08,2.06,-0.45
2021-09-09,2.0422,-0.86
2021-09-10,2.0486,0.31
2021-09-13,2.0297,-0.92
2021-09-14,2.0443,0.72
2021-09-15,2.0529,0.42
2021-09-16,2.0195,-1.63
2021-09-17,2.0289,0.47
2021-09-22,2.0015,-1.35
2021-09-23,2.0405,1.95
2021-09-24,2.0737,1.63
2021-09-27,2.0799,0.3
2021-09-28,2.0547,-1.21
2021-09-29,2.0266,-1.37
2021-09-30,2.0705,2.17
2021-10-08,2.0936,1.12
2021-10-11,2.1048,0.53
2021-10-12,2.0589,-2.18
2021-10-13,2.096,1.8
2021-10-14,2.1078,0.56
2021-10-15,2.1289,1.0
2021-10-18,2.1249,-0.19
2021-10-19,2.1176,-0.34
