path,group_name
A:\projects\money2\my_types\Qdii\000216.csv,在投组(系统)
A:\projects\money2\my_types\Qdii\000217.csv,观察组(系统)
A:\projects\money2\my_types\Qdii\000218.csv,risky-equity
A:\projects\money2\my_types\Qdii\000307.csv,risky-equity
A:\projects\money2\my_types\Qdii\000929.csv,risky-equity
A:\projects\money2\my_types\Qdii\000930.csv,risky-equity

A:\projects\money2\my_types\Equity\001956.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\005628.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\005629.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\006502.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\006503.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\007817.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\007818.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\008326.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\008327.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\011269.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\011270.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\012696.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\012697.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\012800.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\013477.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\013478.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\014191.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\014192.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\014736.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\014737.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\015593.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017469.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017470.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017512.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017513.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017515.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017516.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017517.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017518.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017519.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017520.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017521.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017522.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017523.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017524.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017525.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017526.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017527.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017528.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017559.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\017560.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018048.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018049.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018112.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018113.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018114.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018115.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018120.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018121.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018128.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\018129.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\019993.csv,危险回报观察组(系统)
A:\projects\money2\my_types\Equity\019994.csv,危险回报观察组(系统)
