基金代码,基金全称
000001,华夏成长证券投资基金
000006,西部利得量化成长混合型发起式证券投资基金
000011,华夏大盘精选证券投资基金
000017,财通可持续发展主题混合型证券投资基金
000020,景顺长城品质投资混合型证券投资基金
000021,华夏优势增长混合型证券投资基金
000029,富国宏观策略灵活配置混合型证券投资基金
000030,长城核心优选灵活配置混合型证券投资基金
000031,华夏复兴混合型证券投资基金
000039,农银汇理低估值高增长混合型证券投资基金
000056,建信消费升级混合型证券投资基金
000057,中银消费主题混合型证券投资基金
000058,国联安安泰灵活配置混合型证券投资基金
000060,国联安中证股债动态策略指数证券投资基金
000061,华夏盛世精选混合型证券投资基金
000062,银华量化智慧动力灵活配置混合型证券投资基金
000063,长盛电子信息主题灵活配置混合型证券投资基金
000065,富兰克林国海焦点驱动灵活配置混合型证券投资基金
000066,诺安鸿鑫混合型证券投资基金
000072,华安稳健回报混合型证券投资基金
000073,摩根成长动力混合型证券投资基金
000083,汇添富消费行业混合型证券投资基金
000110,金鹰元安混合型证券投资基金
000117,广发轮动配置混合型证券投资基金
000120,中银美丽中国混合型证券投资基金
000121,华夏永福混合型证券投资基金
000124,华宝服务优选混合型证券投资基金
000126,招商安润灵活配置混合型证券投资基金
000127,农银汇理行业领先混合型证券投资基金
000136,民生加银策略精选灵活配置混合型证券投资基金
000165,国投瑞银策略精选灵活配置混合型证券投资基金
000166,中海信息产业精选混合型证券投资基金
000167,广发聚优灵活配置混合型证券投资基金
000172,华泰柏瑞量化增强混合型证券投资基金
000173,汇添富美丽30混合型证券投资基金
000178,博时灵活配置混合型证券投资基金
000190,中银新回报灵活配置混合型证券投资基金
000195,工银瑞信成长收益混合型证券投资基金
000196,工银瑞信成长收益混合型证券投资基金
000199,国泰量化策略收益混合型证券投资基金
000209,中信保诚新兴产业混合型证券投资基金
000214,广发成长优选灵活配置混合型证券投资基金
000215,广发趋势优选灵活配置混合型证券投资基金
000219,博时裕益灵活配置混合型证券投资基金
000220,富国医疗保健行业混合型证券投资基金
000241,宝盈核心优势灵活配置混合型证券投资基金
000242,景顺长城策略精选灵活配置混合型证券投资基金
000251,工银瑞信金融地产行业混合型证券投资基金
000256,上投摩根红利回报混合型证券投资基金
000259,农银汇理区间收益灵活配置混合型证券投资基金
000263,工银瑞信信息产业混合型证券投资基金
000264,博时内需增长灵活配置混合型证券投资基金
000270,建信灵活配置混合型证券投资基金
000273,华润元大安鑫灵活配置混合型证券投资基金
000279,华商红利优选灵活配置混合型证券投资基金
000294,华安生态优先混合型证券投资基金
000308,建信创新中国混合型证券投资基金
000314,招商瑞丰灵活配置混合型发起式证券投资基金
000327,南方潜力新蓝筹混合型证券投资基金
000328,摩根转型动力灵活配置混合型证券投资基金
000336,农银汇理研究精选灵活配置混合型证券投资基金
000339,长城医疗保健混合型证券投资基金
000354,长盛城镇化主题混合型证券投资基金
000362,国泰聚信价值优势灵活配置混合型证券投资基金
000363,国泰聚信价值优势灵活配置混合型证券投资基金
000367,国泰安康定期支付混合型证券投资基金
000390,华商优势行业灵活配置混合型证券投资基金
000398,华富灵活配置混合型证券投资基金
000404,易方达新兴成长灵活配置混合型证券投资基金
000408,民生加银城镇化灵活配置混合型证券投资基金
000410,益民服务领先灵活配置混合型证券投资基金
000414,嘉实绝对收益策略定期开放混合型发起式证券投资基金
000417,国联安新精选灵活配置混合型证券投资基金
000423,前海开源事件驱动灵活配置混合型发起式证券投资基金
000431,鹏华品牌传承灵活配置混合型证券投资基金
000432,中银优秀企业混合型证券投资基金
000433,安信鑫发优选灵活配置混合型证券投资基金
000436,易方达裕惠回报定期开放式混合型发起式证券投资基金
000452,南方医药保健灵活配置混合型证券投资基金
000458,英大领先回报混合型发起式证券投资基金
000459,英大领先回报后收费
000462,农银汇理主题轮动灵活配置混合型证券投资基金
000477,广发主题领先灵活配置混合型证券投资基金
000480,东方红新动力灵活配置混合型证券投资基金
000496,长安产业精选灵活配置混合型发起式证券投资基金
000507,宏利宏达混合型证券投资基金
000508,宏利宏达混合型证券投资基金
000511,国泰国策驱动灵活配置混合型证券投资基金
000520,上银新兴价值成长混合型证券投资基金
000522,华润元大信息传媒科技混合型证券投资基金
000523,国投瑞银医疗保健行业灵活配置混合型证券投资基金
000526,国泰浓益灵活配置混合型证券投资基金
000527,南方新优享灵活配置混合型证券投资基金
000529,广发竞争优势灵活配置混合型证券投资基金
000530,招商丰盛稳定增长灵活配置混合型证券投资基金
000531,东吴阿尔法灵活配置混合型证券投资基金
000532,景顺长城优势企业混合型证券投资基金
000534,长盛高端装备制造灵活配置混合型证券投资基金
000535,长盛航天海工装备灵活配置混合型证券投资基金
000538,诺安优势行业灵活配置混合型证券投资基金
000541,华商创新成长灵活配置混合型发起式证券投资基金
000545,中邮核心竞争力灵活配置混合型证券投资基金
000547,建信健康民生混合型证券投资基金
000550,广发新动力混合型证券投资基金
000551,中信保诚幸福消费混合型证券投资基金
000554,中国梦灵活配置混合型证券投资基金
