fund_code,industrys
000017,特种工业机械 | 通信设备 | 半导体 | 电子元件 | 其他工业金属采矿 | 房车与休闲车
000011,电气设备与零件 | 电子元件 | 半导体设备与材料 | 黄金 | 通信设备 | 软件基础架构 | 信息技术服务 | 半导体
000020,黄金 | 电信服务 | 通信设备 | 电子元件 | 电气设备与零件 | 铝业 | 特种化工 | 信贷服务 | 金属制品
000021,半导体设备与材料 | 电气设备与零件 | 通信设备 | 电子元件 | 汽车零部件 | 航空航天与国防 | 电脑硬件 | 半导体
000031,电子元件 | 建筑材料 | 油气设备与服务 | 航空公司 | 电气设备与零件 | 特种工业机械 | 包装食品
000039,通信设备 | 电脑硬件 | 半导体 | 电子游戏与多媒体 | 半导体设备与材料 | 电子元件
000042,电气设备与零件 | 电子元件 | 生物技术 | 安全与防护服务 | 资本市场 | 汽车制造 | 电脑硬件
000041,半导体 | 软件基础架构 | 互联网零售 | 消费电子 | 互联网内容与信息 | 汽车零部件
000044,半导体 | 消费电子 | 软件基础架构 | 互联网内容与信息 | 互联网零售 | 汽车制造 | 制药
000043,半导体 | 消费电子 | 软件基础架构 | 互联网内容与信息 | 互联网零售 | 汽车制造 | 制药
000055,无持仓数据
000051,人寿保险 | 饮料与酿酒 | 黄金 | 电气设备与零件 | 区域性银行 | 通信设备 | 电脑硬件 | 半导体 | 资本市场
000056,饮料与酿酒 | 家具、装置与家电 | 汽车制造 | 包装食品 | 综合房地产
000057,奢侈品 | 农产品 | 汽车零部件 | 包装食品 | 住宿酒店 | 饮料与酿酒 | 消费电子
000059,专科药与仿制药 | 生物技术 | 诊断与研究 | 医疗器械与用品 | 医疗器械
000061,通信设备 | 半导体设备与材料 | 电气设备与零件 | 油气设备与服务 | 电脑硬件 | 特种工业机械 | 金属制品
000066,航空航天与国防 | 其他工业金属采矿 | 半导体 | 铜业 | 电子元件 | 特种化工
000071,无持仓数据
000075,无持仓数据
000076,无持仓数据
000073,通信设备 | 电气设备与零件 | 特种工业机械 | 黄金 | 其他工业金属采矿 | 污染治理与控制 | 生物技术
000082,电气设备与零件 | 人寿保险 | 黄金 | 半导体 | 饮料与酿酒 | 电子元件 | 通信设备 | 区域性银行
000083,家具、装置与家电 | 饮料与酿酒 | 包装食品 | 汽车零部件 | 非酒精饮料 | 消费电子 | 房车与休闲车
000117,饮料与酿酒 | 电气设备与零件 | 通信设备 | 黄金 | 电子元件 | 铜业 | 半导体设备与材料 | 软件基础架构
000120,通信设备 | 电子元件 | 电气设备与零件 | 专科药与仿制药 | 半导体 | 特种工业机械
000124,航空公司 | 包装食品 | 资本市场
000127,人寿保险 | 饮料与酿酒 | 黄金 | 资本市场 | 铝业
000166,通信设备 | 电子元件 | 电气设备与零件 | 半导体 | 半导体设备与材料
000172,电气设备与零件 | 人寿保险 | 通信设备 | 黄金 | 饮料与酿酒 | 区域性银行 | 家具、装置与家电 | 资本市场
000173,黄金 | 电气设备与零件 | 其他工业金属采矿 | 电子游戏与多媒体 | 家具、装置与家电 | 污染治理与控制 | 电子元件 | 铝业
000176,电气设备与零件 | 饮料与酿酒 | 人寿保险 | 黄金 | 通信设备 | 区域性银行 | 家具、装置与家电 | 资本市场 | 诊断与研究
000180,医疗保健信托 | 工业地产信托 | 特种地产信托 | 零售地产信托 | 综合地产信托
000179,医疗保健信托 | 工业地产信托 | 特种地产信托 | 零售地产信托 | 综合地产信托
000199,独立发电厂 | 电子元件 | 电子游戏与多媒体 | 资本市场 | 工程建设 | 家具、装置与家电 | 管制电力 | 纺织制造 | 包装与容器 | 电气设备与零件
000217,无持仓数据
000209,半导体 | 汽车零部件 | 电气设备与零件 | 特种工业机械 | 基础化工 | 电脑硬件
000218,无持仓数据
000248,无持仓数据
000220,专科药与仿制药 | 生物技术 | 医疗器械
000251,人寿保险 | 区域性银行 | 资本市场
000294,电子游戏与多媒体 | 通信设备 | 饮料与酿酒 | 半导体 | 资本市场 | 电气设备与零件 | 人寿保险 | 广告代理 | 特种工业机械
000263,电子元件 | 电气设备与零件 | 通信设备 | 特种工业机械
000308,通信设备 | 半导体设备与材料 | 特种工业机械 | 半导体 | 特种化工 | 其他工业金属采矿 | 电气设备与零件 | 建筑产品与设备
000309,油气设备与服务 | 诊断与研究 | 通信设备 | 工具配件 | 黄金 | 人寿保险 | 饮料与啤酒 | 区域性银行
000311,电气设备与零件 | 人寿保险 | 饮料与酿酒 | 通信设备 | 黄金 | 区域性银行 | 资本市场 | 家具、装置与家电
000312,电气设备与零件 | 饮料与酿酒 | 黄金 | 人寿保险 | 区域性银行 | 电子元件 | 家具、装置与家电 | 资本市场
000313,电气设备与零件 | 饮料与酿酒 | 黄金 | 人寿保险 | 区域性银行 | 电子元件 | 家具、装置与家电 | 资本市场
000326,商业办公设备 | 包装食品 | 油气设备与服务 | 特种工业机械 | 饮料与啤酒 | 家具、装置与家电 | 建筑产品与设备 | 农用与重型工程机械 | 奢侈品
000327,电气设备与零件 | 半导体 | 金属制品 | 特种工业机械 | 诊断与研究 | 电子游戏与多媒体 | 电脑硬件 | 汽车零部件
000339,专科药与仿制药 | 生物技术 | 制药 | 医疗器械
