净值日期,累计净值
2018-02-01,1.0
2018-02-02,1.0
2018-02-09,1.0001
2018-02-14,1.0003
2018-02-23,1.0008
2018-03-02,1.0014
2018-03-09,1.0022
2018-03-15,1.0017
2018-03-16,1.0016
2018-03-19,1.0016
2018-03-20,1.0017
2018-03-21,1.0018
2018-03-22,1.0018
2018-03-23,1.0012
2018-03-26,1.0022
2018-03-27,1.003
2018-03-28,1.0021
2018-03-29,1.0035
2018-03-30,1.004
2018-04-02,1.0055
2018-04-03,1.0049
2018-04-04,1.0049
2018-04-09,1.0068
2018-04-10,1.0081
2018-04-11,1.0082
2018-04-12,1.0068
2018-04-13,1.007
2018-04-16,1.0049
2018-04-17,1.0046
2018-04-18,1.0066
2018-04-19,1.0071
2018-04-20,1.0056
2018-04-23,1.0056
2018-04-24,1.0073
2018-04-25,1.0072
2018-04-26,1.0059
2018-04-27,1.0057
2018-05-02,1.0051
2018-05-03,1.0065
2018-05-04,1.0056
2018-05-07,1.0085
2018-05-08,1.0126
2018-05-09,1.0111
2018-05-10,1.0124
2018-05-11,1.0115
2018-05-14,1.0113
2018-05-15,1.0123
2018-05-16,1.0101
2018-05-17,1.0083
2018-05-18,1.0118
2018-05-21,1.0148
2018-05-22,1.0144
2018-05-23,1.0097
2018-05-24,1.0073
2018-05-25,1.0044
2018-05-28,1.003
2018-05-29,1.0015
2018-05-30,0.9909
2018-05-31,0.9969
2018-06-01,0.994
2018-06-04,0.9968
2018-06-05,1.0018
2018-06-06,0.9993
2018-06-07,0.998
2018-06-08,0.994
2018-06-11,0.9938
2018-06-12,0.9977
2018-06-13,0.9953
2018-06-14,0.9935
2018-06-15,0.9918
2018-06-19,0.9768
2018-06-20,0.9798
2018-06-21,0.9685
2018-06-22,0.9753
2018-06-25,0.9676
2018-06-26,0.9714
2018-06-27,0.965
2018-06-28,0.9605
2018-06-29,0.9853
2018-06-30,0.9853
2018-07-02,0.9672
2018-07-03,0.9788
2018-07-04,0.9598
2018-07-05,0.9507
2018-07-06,0.9574
2018-07-09,0.9781
2018-07-10,0.9803
2018-07-11,0.9578
2018-07-12,0.9805
2018-07-13,0.9821
2018-07-16,0.9803
2018-07-17,0.9791
2018-07-18,0.9752
2018-07-19,0.9728
2018-07-20,0.9899
2018-07-23,1.0014
2018-07-24,1.0088
2018-07-25,1.0098
2018-07-26,0.9978
2018-07-27,0.9941
2018-07-30,0.988
2018-07-31,0.9892
2018-08-01,0.9772
2018-08-02,0.9596
2018-08-03,0.9447
2018-08-06,0.935
2018-08-07,0.9602
2018-08-08,0.942
2018-08-09,0.9684
2018-08-10,0.9748
2018-08-13,0.9809
2018-08-14,0.974
2018-08-15,0.9545
2018-08-16,0.9466
2018-08-17,0.933
2018-08-20,0.9438
2018-08-21,0.954
2018-08-22,0.9444
2018-08-23,0.952
2018-08-24,0.9499
2018-08-27,0.972
2018-08-28,0.9697
2018-08-29,0.9633
2018-08-30,0.9512
2018-08-31,0.9428
2018-09-03,0.9462
2018-09-04,0.9567
2018-09-05,0.9415
2018-09-06,0.9397
2018-09-07,0.9363
2018-09-10,0.9192
2018-09-11,0.921
2018-09-12,0.9159
2018-09-13,0.9255
2018-09-14,0.9156
2018-09-17,0.9048
2018-09-18,0.9183
2018-09-19,0.9283
2018-09-20,0.9238
2018-09-21,0.9421
2018-09-25,0.9378
2018-09-26,0.944
2018-09-27,0.9351
2018-09-28,0.9407
2018-10-08,0.9108
2018-10-09,0.9072
2018-10-10,0.9074
2018-10-11,0.8659
2018-10-12,0.8717
2018-10-15,0.8643
2018-10-16,0.847
2018-10-17,0.8619
2018-10-18,0.8454
2018-10-19,0.8745
2018-10-22,0.9119
2018-10-23,0.8933
2018-10-24,0.8903
2018-10-25,0.8822
2018-10-26,0.8757
2018-10-29,0.865
2018-10-30,0.869
2018-10-31,0.8775
2018-11-01,0.8891
2018-11-02,0.9162
2018-11-05,0.9124
2018-11-06,0.9095
2018-11-07,0.9061
2018-11-08,0.8967
2018-11-09,0.8958
2018-11-12,0.9151
2018-11-13,0.9197
2018-11-14,0.9159
2018-11-15,0.9297
2018-11-16,0.9331
2018-11-19,0.9325
2018-11-20,0.9178
2018-11-21,0.9163
2018-11-22,0.9153
2018-11-23,0.8942
2018-11-26,0.8919
2018-11-27,0.8957
2018-11-28,0.9016
2018-11-29,0.8887
2018-11-30,0.895
2018-12-03,0.9112
2018-12-04,0.9123
2018-12-05,0.909
2018-12-06,0.8969
2018-12-07,0.8964
2018-12-10,0.8925
2018-12-11,0.8948
2018-12-12,0.8937
2018-12-13,0.9018
2018-12-14,0.8905
2018-12-17,0.8896
2018-12-18,0.8846
2018-12-19,0.8752
2018-12-20,0.8737
2018-12-21,0.8696
2018-12-24,0.8775
2018-12-25,0.872
2018-12-26,0.8654
2018-12-27,0.8573
2018-12-28,0.858
2018-12-31,0.8579
2019-01-02,0.8539
2019-01-03,0.8495
2019-01-04,0.8686
2019-01-07,0.8791
2019-01-08,0.8761
2019-01-09,0.881
2019-01-10,0.8806
2019-01-11,0.8876
2019-01-14,0.8801
2019-01-15,0.8959
2019-01-16,0.8986
2019-01-17,0.8932
2019-01-18,0.9026
2019-01-21,0.9077
2019-01-22,0.8951
2019-01-23,0.8957
2019-01-24,0.9037
2019-01-25,0.9038
2019-01-28,0.9015
2019-01-29,0.9008
2019-01-30,0.8938
2019-01-31,0.8931
2019-02-01,0.9063
2019-02-11,0.9203
2019-02-12,0.926
