净值日期,累计净值
2025-07-29,1.0
2025-08-01,0.9983
2025-08-08,0.9995
2025-08-11,1.0032
2025-08-12,1.0013
2025-08-13,1.0055
2025-08-14,0.9917
2025-08-15,1.0141
2025-08-18,1.0737
2025-08-19,1.088
2025-08-20,1.1003
2025-08-21,1.0836
2025-08-22,1.0905
2025-08-25,1.0928
2025-08-26,1.0851
2025-08-27,1.058
2025-08-28,1.0605
2025-08-29,1.0729
2025-09-01,1.0693
2025-09-02,1.0733
2025-09-03,1.058
2025-09-04,1.05
2025-09-05,1.1011
2025-09-08,1.1197
2025-09-09,1.0966
2025-09-10,1.0949
2025-09-11,1.1115
2025-09-12,1.0891
2025-09-15,1.0957
2025-09-16,1.1046
2025-09-17,1.097
2025-09-18,1.0866
2025-09-19,1.0782
2025-09-22,1.0853
2025-09-23,1.0631
2025-09-24,1.0834
2025-09-25,1.0695
2025-09-26,1.0511
2025-09-29,1.0578
2025-09-30,1.0508
2025-10-09,1.0488
2025-10-10,1.0362
2025-10-13,1.0233
2025-10-14,1.0212
2025-10-15,1.0368
2025-10-16,1.024
2025-10-17,0.9873
2025-10-20,0.985
2025-10-21,1.004
2025-10-22,1.0121
2025-10-23,1.002
2025-10-24,1.0128
2025-10-27,1.0108
2025-10-28,0.9992
2025-10-29,1.0791
2025-10-30,1.066
2025-10-31,1.0835
2025-11-03,1.0733
2025-11-04,1.0484
2025-11-05,1.0463
2025-11-06,1.0426
2025-11-07,1.0445
2025-11-10,1.0378
2025-11-11,1.0277
2025-11-12,1.0234
2025-11-13,1.049
2025-11-14,1.0388
2025-11-17,1.0468
2025-11-18,1.0177
2025-11-19,1.0043
2025-11-20,0.9941
2025-11-21,0.9498
2025-11-24,0.9554
2025-11-25,0.9626
2025-11-26,0.9587
2025-11-27,0.953
2025-11-28,0.9565
2025-12-01,0.9702
2025-12-02,0.9634
