净值日期,累计净值
2024-06-12,1.0377
2024-06-13,1.0377
2024-06-14,1.0378
2024-06-17,1.0377
2024-06-18,1.038
2024-06-19,1.0385
2024-06-20,1.0386
2024-06-21,1.0384
2024-06-24,1.0388
2024-06-25,1.0393
2024-06-26,1.0396
2024-06-27,1.0399
2024-06-28,1.0398
2024-06-30,1.04
2024-07-01,1.0395
2024-07-02,1.04
2024-07-03,1.0404
2024-07-04,1.0403
2024-07-05,1.0399
2024-07-08,1.0393
2024-07-09,1.0398
2024-07-10,1.0399
2024-07-11,1.0402
2024-07-12,1.0405
2024-07-15,1.0407
2024-07-16,1.0408
2024-07-17,1.0408
2024-07-18,1.0406
2024-07-19,1.0409
2024-07-22,1.0418
2024-07-23,1.0422
2024-07-24,1.0421
2024-07-25,1.0422
2024-07-26,1.0422
2024-07-29,1.0425
2024-07-30,1.0427
2024-07-31,1.0433
2024-08-01,1.0438
2024-08-02,1.0441
2024-08-05,1.0444
2024-08-06,1.0441
2024-08-07,1.0441
2024-08-08,1.0435
2024-08-09,1.043
2024-08-12,1.042
2024-08-13,1.0427
2024-08-14,1.0431
2024-08-15,1.0427
2024-08-16,1.0427
2024-08-19,1.0428
2024-08-20,1.0426
2024-08-21,1.0425
2024-08-22,1.0427
2024-08-23,1.0432
2024-08-26,1.0432
2024-08-27,1.0429
2024-08-28,1.043
2024-08-29,1.0431
2024-08-30,1.0432
2024-09-02,1.044
2024-09-03,1.0443
2024-09-04,1.0443
2024-09-05,1.0444
2024-09-06,1.0446
2024-09-09,1.0447
2024-09-10,1.0448
2024-09-11,1.0453
2024-09-12,1.0453
2024-09-13,1.0454
2024-09-18,1.0458
2024-09-19,1.0456
2024-09-20,1.0457
2024-09-23,1.0457
2024-09-24,1.0458
2024-09-25,1.0468
2024-09-26,1.0464
2024-09-27,1.0457
2024-09-30,1.0454
2024-10-08,1.0446
2024-10-09,1.0445
2024-10-10,1.0453
2024-10-11,1.0457
2024-10-14,1.0461
2024-10-15,1.0462
2024-10-16,1.0461
