净值日期,累计净值
2022-03-02,1.0
2022-03-04,1.0
2022-03-10,0.9866
2022-03-11,0.9888
2022-03-14,0.9841
2022-03-15,0.9667
2022-03-16,0.9596
2022-03-17,0.9678
2022-03-18,0.9691
2022-03-21,0.9663
2022-03-22,0.972
2022-03-23,0.9661
2022-03-24,0.9759
2022-03-25,0.9817
2022-03-28,0.9727
2022-03-29,0.9673
2022-03-30,0.9657
2022-03-31,0.9649
2022-04-01,0.9687
2022-04-06,0.9646
2022-04-07,0.9658
2022-04-08,0.9677
2022-04-11,0.9746
2022-04-12,0.9804
2022-04-13,0.984
2022-04-14,0.9851
2022-04-15,0.9883
2022-04-18,0.9933
2022-04-19,0.9879
2022-04-20,0.9768
2022-04-21,0.9871
2022-04-22,0.9912
2022-04-25,0.9863
2022-04-26,0.9791
2022-04-27,0.9785
2022-04-28,0.9771
2022-04-29,0.9888
2022-05-05,0.9858
2022-05-06,0.9836
2022-05-09,0.9873
2022-05-10,0.9808
2022-05-11,0.9757
2022-05-12,0.9843
2022-05-13,0.9756
2022-05-16,0.9671
2022-05-17,0.9719
2022-05-18,0.9618
2022-05-19,0.9653
2022-05-20,0.971
2022-05-23,0.9707
2022-05-24,0.9729
2022-05-25,0.974
2022-05-26,0.9777
2022-05-27,0.9814
2022-05-30,0.9736
2022-05-31,0.9711
2022-06-01,0.9659
2022-06-02,0.9723
2022-06-06,0.9695
2022-06-07,0.9655
2022-06-08,0.9694
2022-06-09,0.9711
2022-06-10,0.9684
2022-06-13,0.9831
2022-06-14,0.9651
2022-06-15,0.9602
2022-06-16,0.9631
2022-06-17,0.9692
2022-06-20,0.9656
2022-06-21,0.9636
2022-06-22,0.9635
2022-06-23,0.9646
2022-06-24,0.958
2022-06-27,0.9635
2022-06-28,0.9585
2022-06-29,0.9569
2022-06-30,0.9551
2022-07-01,0.9473
2022-07-04,0.9513
2022-07-05,0.9505
2022-07-06,0.9327
2022-07-07,0.921
2022-07-08,0.9199
2022-07-11,0.9196
2022-07-12,0.9196
2022-07-13,0.9139
2022-07-14,0.9124
2022-07-15,0.9096
2022-07-18,0.9118
2022-07-19,0.9095
2022-07-20,0.9094
2022-07-21,0.9022
2022-07-22,0.9155
2022-07-25,0.9183
2022-07-26,0.9188
2022-07-27,0.9167
2022-07-28,0.9248
2022-07-29,0.9373
2022-08-01,0.937
2022-08-02,0.9431
2022-08-03,0.9392
2022-08-04,0.9414
2022-08-05,0.9488
2022-08-08,0.9441
2022-08-09,0.9475
2022-08-10,0.9501
2022-08-11,0.9457
2022-08-12,0.9491
2022-08-15,0.9513
2022-08-16,0.95
2022-08-17,0.9462
2022-08-18,0.9412
2022-08-19,0.9402
2022-08-22,0.9379
2022-08-23,0.9407
2022-08-24,0.9447
2022-08-25,0.9475
2022-08-26,0.9493
2022-08-29,0.9414
2022-08-30,0.945
2022-08-31,0.9393
2022-09-01,0.9329
2022-09-02,0.9316
2022-09-05,0.9398
2022-09-06,0.9442
2022-09-07,0.9385
2022-09-08,0.9456
2022-09-09,0.9463
2022-09-13,0.9456
2022-09-14,0.9394
2022-09-15,0.9349
2022-09-16,0.9317
2022-09-19,0.9345
2022-09-20,0.9367
2022-09-21,0.9378
2022-09-22,0.9367
2022-09-23,0.941
2022-09-26,0.9336
2022-09-27,0.9355
2022-09-28,0.9394
2022-09-29,0.9448
2022-09-30,0.9454
2022-10-10,0.9521
2022-10-11,0.9508
2022-10-12,0.9512
2022-10-13,0.9517
2022-10-14,0.9506
2022-10-17,0.9464
2022-10-18,0.9478
2022-10-19,0.9458
2022-10-20,0.9416
2022-10-21,0.9406
2022-10-24,0.9515
2022-10-25,0.9534
2022-10-26,0.9537
2022-10-27,0.9516
2022-10-28,0.951
2022-10-31,0.948
2022-11-01,0.9485
2022-11-02,0.9501
2022-11-03,0.9478
2022-11-04,0.9478
2022-11-07,0.9538
2022-11-08,0.9563
2022-11-09,0.9749
2022-11-10,0.9754
2022-11-11,0.9832
2022-11-14,0.9747
2022-11-15,0.9778
2022-11-16,0.9822
2022-11-17,0.9839
2022-11-18,0.9829
2022-11-21,0.9776
2022-11-22,0.9774
2022-11-23,0.9762
2022-11-24,0.9798
2022-11-25,0.9822
2022-11-28,0.9837
