净值日期,单位净值,日增长率
2020-03-27,1.0,0.0
2020-04-03,0.9992,0.0
2020-04-10,1.0021,0.0
2020-04-17,1.0071,0.0
2020-04-24,1.0008,0.0
2020-04-30,1.0055,0.0
2020-05-08,1.0139,0.0
2020-05-15,1.0069,0.0
2020-05-22,0.9878,0.0
2020-05-27,0.9986,0.0
2020-05-28,0.9986,0.0
2020-05-29,1.0031,0.4506
2020-06-01,1.021,1.7845
2020-06-02,1.0205,-0.049
2020-06-03,1.0195,-0.098
2020-06-04,1.0217,0.2158
2020-06-05,1.0234,0.1664
2020-06-08,1.0277,0.4202
2020-06-09,1.0458,1.7612
2020-06-10,1.0458,0.0
2020-06-11,1.0323,-1.2909
2020-06-12,1.0341,0.1744
2020-06-15,1.0283,-0.5609
2020-06-16,1.0444,1.5657
2020-06-17,1.0477,0.316
2020-06-18,1.0419,-0.5536
2020-06-19,1.0537,1.1325
2020-06-22,1.0514,-0.2183
2020-06-23,1.0558,0.4185
2020-06-24,1.0614,0.5304
2020-06-29,1.0646,0.3015
2020-06-30,1.0843,1.8505
2020-07-01,1.0868,0.2306
2020-07-02,1.0996,1.1778
2020-07-03,1.1147,1.3732
2020-07-06,1.1546,3.5794
2020-07-07,1.1704,1.3684
2020-07-08,1.1983,2.3838
2020-07-09,1.2246,2.1948
2020-07-10,1.2032,-1.7475
2020-07-13,1.2268,1.9614
2020-07-14,1.2102,-1.3531
2020-07-15,1.208,-0.1818
2020-07-16,1.1556,-4.3377
2020-07-17,1.166,0.9
2020-07-20,1.2095,3.7307
2020-07-21,1.2107,0.0992
2020-07-22,1.2172,0.5369
2020-07-23,1.2079,-0.764
2020-07-24,1.1435,-5.3316
2020-07-27,1.1396,-0.3411
2020-07-28,1.1534,1.211
2020-07-29,1.1828,2.549
2020-07-30,1.1821,-0.0592
2020-07-31,1.1843,0.1861
2020-08-03,1.2108,2.2376
2020-08-04,1.2235,1.0489
2020-08-05,1.2324,0.7274
2020-08-06,1.2275,-0.3976
2020-08-07,1.2123,-1.2383
2020-08-10,1.241,2.3674
2020-08-11,1.2313,-0.7816
2020-08-12,1.2026,-2.3309
2020-08-13,1.2058,0.2661
2020-08-14,1.2249,1.584
2020-08-17,1.2523,2.2369
2020-08-18,1.27,1.4134
2020-08-19,1.2514,-1.4646
2020-08-20,1.2333,-1.4464
2020-08-21,1.2498,1.3379
2020-08-24,1.2713,1.72
2020-08-25,1.2738,0.2
2020-08-26,1.2499,-1.88
2020-08-27,1.2577,0.62
2020-08-28,1.2969,3.12
2020-08-31,1.2967,-0.02
2020-09-01,1.3106,1.07
2020-09-02,1.3103,-0.02
2020-09-03,1.3063,-0.31
2020-09-04,1.2866,-1.51
2020-09-07,1.2448,-3.25
2020-09-08,1.252,0.58
2020-09-09,1.2207,-2.5
2020-09-10,1.2054,-1.25
2020-09-11,1.2236,1.51
2020-09-14,1.2239,0.02
2020-09-15,1.2382,1.17
2020-09-16,1.2385,0.02
2020-09-17,1.2371,-0.11
2020-09-18,1.2608,1.92
2020-09-21,1.2495,-0.9
2020-09-22,1.2369,-1.01
2020-09-23,1.2447,0.63
2020-09-24,1.2248,-1.6
2020-09-25,1.2253,0.04
2020-09-28,1.2171,-0.67
2020-09-29,1.2232,0.5
2020-09-30,1.2216,-0.13
2020-10-09,1.2578,2.96
2020-10-12,1.2735,1.25
2020-10-13,1.2849,0.9
2020-10-14,1.2823,-0.2
2020-10-15,1.2758,-0.51
2020-10-16,1.2763,0.04
2020-10-19,1.2595,-1.32
