净值日期,累计净值
2015-12-30,1.0
2015-12-31,1.0
2016-01-08,1.0
2016-01-15,0.999
2016-01-22,1.0
2016-01-29,1.0
2016-02-05,1.001
2016-02-19,1.002
2016-02-26,1.002
2016-03-04,1.002
2016-03-11,1.002
2016-03-18,1.004
2016-03-25,1.005
2016-04-01,1.004
2016-04-08,1.005
2016-04-15,1.005
2016-04-22,1.003
2016-04-29,1.003
2016-05-06,1.004
2016-05-13,1.003
2016-05-20,1.003
2016-05-27,1.004
2016-06-03,1.006
2016-06-08,1.007
2016-06-17,1.009
2016-06-24,1.01
2016-06-30,1.011
2016-07-01,1.011
2016-07-08,1.013
2016-07-15,1.014
2016-07-22,1.014
2016-07-29,1.015
2016-08-05,1.016
2016-08-12,1.017
2016-08-19,1.018
2016-08-26,1.018
2016-09-02,1.018
2016-09-09,1.018
2016-09-14,1.018
2016-09-23,1.019
2016-09-30,1.019
2016-10-14,1.021
2016-10-21,1.022
2016-10-28,1.021
2016-11-04,1.021
2016-11-11,1.022
2016-11-18,1.021
2016-11-25,1.023
2016-12-02,1.021
2016-12-09,1.02
2016-12-16,1.014
2016-12-23,1.015
2016-12-30,1.017
2016-12-31,1.017
2017-01-06,1.019
2017-01-13,1.019
2017-01-20,1.018
2017-01-26,1.02
2017-02-03,1.02
2017-02-10,1.019
2017-02-17,1.019
2017-02-24,1.02
2017-03-03,1.02
2017-03-10,1.021
2017-03-17,1.022
2017-03-24,1.024
2017-03-31,1.024
2017-04-07,1.026
2017-04-14,1.026
2017-04-21,1.026
2017-04-28,1.025
2017-05-05,1.025
2017-05-12,1.024
2017-05-19,1.025
2017-05-26,1.025
2017-06-02,1.024
2017-06-09,1.026
2017-06-16,1.028
2017-06-23,1.028
2017-06-30,1.03
2017-07-07,1.032
2017-07-14,1.031
2017-07-21,1.032
2017-07-28,1.033
2017-08-04,1.034
2017-08-11,1.034
2017-08-18,1.037
2017-08-25,1.037
2017-09-01,1.039
2017-09-08,1.041
2017-09-15,1.041
2017-09-22,1.041
2017-09-29,1.042
2017-10-13,1.044
2017-10-20,1.044
2017-10-27,1.046
2017-11-03,1.045
2017-11-10,1.047
2017-11-17,1.047
2017-11-24,1.047
2017-12-01,1.048
2017-12-08,1.048
2017-12-15,1.048
2017-12-22,1.049
2017-12-29,1.0478
2017-12-31,1.0478
2018-01-02,1.0479
