净值日期,累计净值
2021-12-13,1.0
2021-12-14,0.9998
2021-12-15,0.9956
2021-12-16,0.9996
2021-12-17,0.986
2021-12-20,0.9638
2021-12-21,0.9728
2021-12-22,0.9793
2021-12-23,0.9819
2021-12-24,0.9691
2021-12-27,0.9721
2021-12-28,0.9802
2021-12-29,0.9693
2021-12-30,0.9773
2021-12-31,0.9782
2022-01-04,0.9689
2022-01-05,0.9487
2022-01-06,0.9401
2022-01-07,0.9399
2022-01-10,0.9421
2022-01-11,0.9282
2022-01-12,0.9417
2022-01-13,0.9247
2022-01-14,0.9284
2022-01-17,0.9422
2022-01-18,0.9429
2022-01-19,0.9272
2022-01-20,0.9291
2022-01-21,0.9181
2022-01-24,0.9235
2022-01-25,0.9033
2022-01-26,0.9096
2022-01-27,0.8837
2022-01-28,0.8799
2022-02-07,0.8849
2022-02-08,0.8699
2022-02-09,0.8803
2022-02-10,0.8694
2022-02-11,0.8532
2022-02-14,0.8504
2022-02-15,0.869
2022-02-16,0.8704
2022-02-17,0.8751
2022-02-18,0.8738
2022-02-21,0.8722
2022-02-22,0.8599
2022-02-23,0.881
2022-02-24,0.8632
2022-02-25,0.8765
2022-02-28,0.8776
2022-03-01,0.8772
2022-03-02,0.8651
2022-03-03,0.8543
2022-03-04,0.8417
2022-03-07,0.8086
2022-03-08,0.7912
2022-03-09,0.7859
2022-03-10,0.8036
2022-03-11,0.8087
2022-03-14,0.7835
2022-03-15,0.7584
2022-03-16,0.7884
2022-03-17,0.8068
2022-03-18,0.8061
2022-03-21,0.8114
2022-03-22,0.8043
2022-03-23,0.8092
2022-03-24,0.8047
2022-03-25,0.7866
2022-03-28,0.7758
2022-03-29,0.7707
2022-03-30,0.7957
2022-03-31,0.7879
2022-04-01,0.7931
2022-04-06,0.7875
2022-04-07,0.7753
2022-04-08,0.7745
2022-04-11,0.745
2022-04-12,0.7582
2022-04-13,0.7457
2022-04-14,0.7506
2022-04-15,0.7473
2022-04-18,0.7528
2022-04-19,0.7456
2022-04-20,0.7298
2022-04-21,0.7129
2022-04-22,0.7116
2022-04-25,0.672
2022-04-26,0.6632
2022-04-27,0.6934
2022-04-28,0.6907
2022-04-29,0.7186
2022-05-05,0.7185
2022-05-06,0.7038
2022-05-09,0.6967
2022-05-10,0.7064
2022-05-11,0.7245
2022-05-12,0.7227
2022-05-13,0.7273
2022-05-16,0.7202
2022-05-17,0.7331
2022-05-18,0.7325
2022-05-19,0.735
2022-05-20,0.7459
2022-05-23,0.7422
2022-05-24,0.7185
2022-05-25,0.7211
2022-05-26,0.724
2022-05-27,0.7247
2022-05-30,0.7327
2022-05-31,0.7468
2022-06-01,0.7516
2022-06-02,0.7587
2022-06-06,0.7819
2022-06-07,0.7798
2022-06-08,0.7852
2022-06-09,0.7664
2022-06-10,0.7832
2022-06-13,0.7801
2022-06-14,0.7787
2022-06-15,0.7888
2022-06-16,0.7895
2022-06-17,0.8036
2022-06-20,0.8176
2022-06-21,0.8165
2022-06-22,0.8047
2022-06-23,0.8226
2022-06-24,0.8361
2022-06-27,0.8403
2022-06-28,0.8485
2022-06-29,0.8306
2022-06-30,0.8391
2022-07-01,0.8346
2022-07-04,0.842
2022-07-05,0.8366
2022-07-06,0.8313
2022-07-07,0.8426
2022-07-08,0.8366
2022-07-11,0.821
2022-07-12,0.8082
2022-07-13,0.8132
2022-07-14,0.8239
2022-07-15,0.813
2022-07-18,0.8207
2022-07-19,0.8139
2022-07-20,0.8162
2022-07-21,0.81
2022-07-22,0.807
2022-07-25,0.8011
2022-07-26,0.8049
2022-07-27,0.8032
2022-07-28,0.8057
2022-07-29,0.795
2022-08-01,0.8095
2022-08-02,0.794
2022-08-03,0.7837
2022-08-04,0.7873
2022-08-05,0.7994
2022-08-08,0.7995
2022-08-09,0.8026
2022-08-10,0.7928
2022-08-11,0.8098
2022-08-12,0.8046
2022-08-15,0.8076
2022-08-16,0.8076
2022-08-17,0.8194
2022-08-18,0.8156
2022-08-19,0.8029
2022-08-22,0.8132
2022-08-23,0.8105
2022-08-24,0.7849
2022-08-25,0.7837
2022-08-26,0.7805
2022-08-29,0.7765
2022-08-30,0.7724
2022-08-31,0.764
2022-09-01,0.7575
2022-09-02,0.7569
2022-09-05,0.7532
2022-09-06,0.7557
2022-09-07,0.7616
2022-09-08,0.7521
2022-09-09,0.7614
2022-09-13,0.7653
2022-09-14,0.7542
2022-09-15,0.7386
2022-09-16,0.726
2022-09-19,0.7253
2022-09-20,0.7277
2022-09-21,0.7205
2022-09-22,0.7127
2022-09-23,0.7082
2022-09-26,0.7095
2022-09-27,0.7219
2022-09-28,0.7059
2022-09-29,0.7078
2022-09-30,0.6961
2022-10-10,0.6796
2022-10-11,0.6848
2022-10-12,0.7047
2022-10-13,0.7031
2022-10-14,0.7239
2022-10-17,0.7273
2022-10-18,0.7304
2022-10-19,0.7227
2022-10-20,0.7174
2022-10-21,0.7158
2022-10-24,0.7018
2022-10-25,0.6996
2022-10-26,0.7123
2022-10-27,0.7072
2022-10-28,0.6841
2022-10-31,0.6863
2022-11-01,0.7064
2022-11-02,0.7163
2022-11-03,0.7128
2022-11-04,0.7339
2022-11-07,0.7333
2022-11-08,0.7287
2022-11-09,0.7213
2022-11-10,0.7082
2022-11-11,0.7244
2022-11-14,0.7246
2022-11-15,0.7412
2022-11-16,0.7318
2022-11-17,0.729
2022-11-18,0.7286
2022-11-21,0.7274
2022-11-22,0.717
2022-11-23,0.7139
2022-11-24,0.7126
2022-11-25,0.7077
2022-11-28,0.703
2022-11-29,0.7179
2022-11-30,0.7206
2022-12-01,0.7305
2022-12-02,0.7269
2022-12-05,0.7322
2022-12-06,0.7381
2022-12-07,0.7431
2022-12-08,0.7417
2022-12-09,0.7479
2022-12-12,0.7442
2022-12-13,0.7361
2022-12-14,0.7343
2022-12-15,0.7409
2022-12-16,0.7365
2022-12-19,0.7285
2022-12-20,0.7175
2022-12-21,0.7146
2022-12-22,0.7128
2022-12-23,0.7096
2022-12-26,0.72
2022-12-27,0.7265
2022-12-28,0.7185
2022-12-29,0.7193
2022-12-30,0.7188
2022-12-31,0.7188
2023-01-03,0.7254
2023-01-04,0.7219
2023-01-05,0.7389
2023-01-06,0.7414
2023-01-09,0.744
2023-01-10,0.7505
2023-01-11,0.7454
2023-01-12,0.7493
2023-01-13,0.7574
2023-01-16,0.7686
2023-01-17,0.7713
2023-01-18,0.7719
2023-01-19,0.7781
2023-01-20,0.7813
2023-01-30,0.792
2023-01-31,0.7837
2023-02-01,0.7935
2023-02-02,0.7896
2023-02-03,0.7844
2023-02-06,0.7753
2023-02-07,0.7751
2023-02-08,0.7716
2023-02-09,0.7827
2023-02-10,0.7765
2023-02-13,0.7836
2023-02-14,0.7814
2023-02-15,0.7801
2023-02-16,0.772
2023-02-17,0.7557
2023-02-20,0.7696
2023-02-21,0.7698
2023-02-22,0.764
2023-02-23,0.7647
2023-02-24,0.7589
2023-02-27,0.7523
2023-02-28,0.7585
2023-03-01,0.768
2023-03-02,0.7635
2023-03-03,0.7629
2023-03-06,0.7649
2023-03-07,0.7516
2023-03-08,0.7495
2023-03-09,0.7504
2023-03-10,0.7436
2023-03-13,0.7457
2023-03-14,0.7394
2023-03-15,0.7385
2023-03-16,0.727
2023-03-17,0.7298
2023-03-20,0.73
2023-03-21,0.7414
2023-03-22,0.7479
2023-03-23,0.7567
2023-03-24,0.758
2023-03-27,0.7592
2023-03-28,0.7514
2023-03-29,0.7558
2023-03-30,0.7606
2023-03-31,0.7659
2023-04-03,0.7737
2023-04-04,0.7693
2023-04-06,0.7722
2023-04-07,0.7803
2023-04-10,0.7764
2023-04-11,0.7769
2023-04-12,0.7775
2023-04-13,0.7644
2023-04-14,0.7694
2023-04-17,0.7732
2023-04-18,0.7754
2023-04-19,0.7687
2023-04-20,0.7653
2023-04-21,0.7513
2023-04-24,0.7445
2023-04-25,0.7317
2023-04-26,0.7375
2023-04-27,0.7422
2023-04-28,0.7465
2023-05-04,0.7384
2023-05-05,0.7303
2023-05-08,0.7321
2023-05-09,0.7251
2023-05-10,0.7288
2023-05-11,0.7298
2023-05-12,0.723
2023-05-15,0.7353
2023-05-16,0.7323
2023-05-17,0.7329
2023-05-18,0.7326
2023-05-19,0.7348
2023-05-22,0.7359
2023-05-23,0.7297
2023-05-24,0.724
2023-05-25,0.7245
2023-05-26,0.7227
2023-05-29,0.7152
2023-05-30,0.7214
2023-05-31,0.7161
2023-06-01,0.7204
2023-06-02,0.7308
2023-06-05,0.7273
2023-06-06,0.717
2023-06-07,0.7109
2023-06-08,0.7118
2023-06-09,0.717
2023-06-12,0.723
2023-06-13,0.7302
2023-06-14,0.7317
2023-06-15,0.7507
2023-06-16,0.7612
2023-06-19,0.7604
2023-06-20,0.7677
2023-06-21,0.7534
2023-06-26,0.7436
2023-06-27,0.7499
2023-06-28,0.7445
2023-06-29,0.7436
2023-06-30,0.7503
2023-07-03,0.7548
2023-07-04,0.7576
2023-07-05,0.7515
2023-07-06,0.7474
2023-07-07,0.7404
2023-07-10,0.7446
2023-07-11,0.7525
2023-07-12,0.7453
2023-07-13,0.7555
2023-07-14,0.7541
2023-07-17,0.7504
2023-07-18,0.7467
2023-07-19,0.7409
2023-07-20,0.7317
2023-07-21,0.7299
2023-07-24,0.7256
2023-07-25,0.7428
2023-07-26,0.7395
2023-07-27,0.7372
2023-07-28,0.7471
2023-07-31,0.7524
2023-08-01,0.7496
2023-08-02,0.7475
2023-08-03,0.7507
2023-08-04,0.7562
2023-08-07,0.7494
2023-08-08,0.7468
2023-08-09,0.7435
2023-08-10,0.743
2023-08-11,0.7279
2023-08-14,0.7222
2023-08-15,0.7162
2023-08-16,0.7089
2023-08-17,0.7133
2023-08-18,0.7032
2023-08-21,0.694
2023-08-22,0.697
2023-08-23,0.6817
2023-08-24,0.6891
2023-08-25,0.6805
2023-08-28,0.6883
2023-08-29,0.7034
2023-08-30,0.7078
2023-08-31,0.7048
2023-09-01,0.7058
2023-09-04,0.7124
2023-09-05,0.7079
2023-09-06,0.7048
2023-09-07,0.6908
2023-09-08,0.6868
2023-09-11,0.6923
2023-09-12,0.6924
2023-09-13,0.6838
2023-09-14,0.6784
2023-09-15,0.6733
2023-09-18,0.6781
2023-09-19,0.6729
2023-09-20,0.6698
2023-09-21,0.6647
2023-09-22,0.6789
2023-09-25,0.6757
2023-09-26,0.672
2023-09-27,0.6751
2023-09-28,0.675
2023-10-09,0.6784
2023-10-10,0.6725
2023-10-11,0.6767
2023-10-12,0.6812
2023-10-13,0.6731
2023-10-16,0.6634
2023-10-17,0.6643
2023-10-18,0.6572
2023-10-19,0.646
2023-10-20,0.639
2023-10-23,0.6334
2023-10-24,0.6336
2023-10-25,0.6347
2023-10-26,0.6361
2023-10-27,0.6507
2023-10-30,0.6624
2023-10-31,0.6557
2023-11-01,0.6516
2023-11-02,0.6465
2023-11-03,0.6544
2023-11-06,0.6715
2023-11-07,0.6696
2023-11-08,0.6691
2023-11-09,0.6692
2023-11-10,0.6654
2023-11-13,0.6643
2023-11-14,0.6638
2023-11-15,0.6693
2023-11-16,0.6607
2023-11-17,0.6618
2023-11-20,0.6629
2023-11-21,0.6608
2023-11-22,0.651
2023-11-23,0.6562
2023-11-24,0.6497
2023-11-27,0.6464
2023-11-28,0.6513
2023-11-29,0.6442
2023-11-30,0.6432
2023-12-01,0.6409
2023-12-04,0.6359
2023-12-05,0.624
2023-12-06,0.6263
2023-12-07,0.6251
2023-12-08,0.6298
2023-12-11,0.637
2023-12-12,0.6356
2023-12-13,0.6271
2023-12-14,0.6237
2023-12-15,0.6207
2023-12-18,0.6137
2023-12-19,0.6153
2023-12-20,0.6072
2023-12-21,0.6155
2023-12-22,0.6151
2023-12-25,0.6185
2023-12-26,0.6124
2023-12-27,0.614
2023-12-28,0.6317
2023-12-29,0.6371
2023-12-31,0.6371
2024-01-02,0.6263
2024-01-03,0.6198
2024-01-04,0.6122
2024-01-05,0.6075
2024-01-08,0.5987
2024-01-09,0.6001
2024-01-10,0.5969
2024-01-11,0.6045
2024-01-12,0.5996
2024-01-15,0.5976
2024-01-16,0.6013
2024-01-17,0.5867
2024-01-18,0.5951
2024-01-19,0.5922
2024-01-22,0.5787
2024-01-23,0.5853
2024-01-24,0.5893
2024-01-25,0.5964
2024-01-26,0.5884
2024-01-29,0.5756
2024-01-30,0.5625
2024-01-31,0.5573
2024-02-01,0.5618
2024-02-02,0.5506
2024-02-05,0.5543
2024-02-06,0.5813
2024-02-07,0.5914
2024-02-08,0.5982
2024-02-19,0.6034
2024-02-20,0.6036
2024-02-21,0.608
2024-02-22,0.6116
2024-02-23,0.611
2024-02-26,0.6118
2024-02-27,0.6256
2024-02-28,0.6121
2024-02-29,0.6305
2024-03-01,0.6396
2024-03-04,0.6402
2024-03-05,0.6403
2024-03-06,0.6389
2024-03-07,0.6302
2024-03-08,0.6362
2024-03-11,0.6531
2024-03-12,0.656
2024-03-13,0.6531
2024-03-14,0.6493
2024-03-15,0.6496
2024-03-18,0.6596
2024-03-19,0.6543
2024-03-20,0.6551
2024-03-21,0.6504
2024-03-22,0.6454
2024-03-25,0.6381
2024-03-26,0.6411
2024-03-27,0.628
2024-03-28,0.6356
2024-03-29,0.6374
2024-04-01,0.6539
2024-04-02,0.65
2024-04-03,0.6455
2024-04-08,0.6373
2024-04-09,0.6404
2024-04-10,0.6305
2024-04-11,0.6303
2024-04-12,0.6258
2024-04-15,0.6382
2024-04-16,0.6286
2024-04-17,0.6405
2024-04-18,0.6394
2024-04-19,0.6306
2024-04-22,0.6284
2024-04-23,0.624
2024-04-24,0.6268
2024-04-25,0.6282
2024-04-26,0.6412
2024-04-29,0.657
2024-04-30,0.6528
2024-05-06,0.6661
2024-05-07,0.6651
2024-05-08,0.6552
2024-05-09,0.665
2024-05-10,0.6592
2024-05-13,0.6567
2024-05-14,0.655
2024-05-15,0.652
2024-05-16,0.6535
2024-05-17,0.6571
2024-05-20,0.6573
2024-05-21,0.6539
2024-05-22,0.6575
2024-05-23,0.6508
2024-05-24,0.642
2024-05-27,0.6467
2024-05-28,0.6387
2024-05-29,0.6409
2024-05-30,0.6418
2024-05-31,0.6394
2024-06-03,0.6446
2024-06-04,0.6507
2024-06-05,0.6486
2024-06-06,0.6482
2024-06-07,0.6386
2024-06-11,0.6396
2024-06-12,0.6395
2024-06-13,0.6385
2024-06-14,0.6431
2024-06-17,0.6481
2024-06-18,0.6515
2024-06-19,0.645
2024-06-20,0.6365
2024-06-21,0.6357
2024-06-24,0.6297
2024-06-25,0.6243
2024-06-26,0.6322
2024-06-27,0.6254
2024-06-28,0.6257
2024-06-30,0.6257
2024-07-01,0.6243
2024-07-02,0.6173
2024-07-03,0.6154
2024-07-04,0.613
2024-07-05,0.6127
2024-07-08,0.6064
2024-07-09,0.6173
2024-07-10,0.6175
2024-07-11,0.6274
2024-07-12,0.6286
2024-07-15,0.6248
2024-07-16,0.6324
2024-07-17,0.63
2024-07-18,0.6347
2024-07-19,0.6366
2024-07-22,0.6353
2024-07-23,0.6176
2024-07-24,0.6093
2024-07-25,0.608
2024-07-26,0.6183
2024-07-29,0.6117
2024-07-30,0.6062
2024-07-31,0.6229
2024-08-01,0.6166
2024-08-02,0.6075
2024-08-05,0.5955
2024-08-06,0.5982
2024-08-07,0.5972
2024-08-08,0.5962
2024-08-09,0.593
2024-08-12,0.592
2024-08-13,0.5948
2024-08-14,0.5884
2024-08-15,0.5918
2024-08-16,0.5927
2024-08-19,0.5925
2024-08-20,0.5878
2024-08-21,0.5879
2024-08-22,0.5855
2024-08-23,0.5879
2024-08-26,0.5888
2024-08-27,0.5835
2024-08-28,0.5821
2024-08-29,0.5841
2024-08-30,0.5994
2024-09-02,0.5872
2024-09-03,0.5955
2024-09-04,0.5949
2024-09-05,0.5955
2024-09-06,0.5874
2024-09-09,0.5835
2024-09-10,0.5854
2024-09-11,0.5916
2024-09-12,0.5894
2024-09-13,0.5851
2024-09-18,0.5887
2024-09-19,0.5906
2024-09-20,0.5903
2024-09-23,0.5905
2024-09-24,0.6104
2024-09-25,0.6205
2024-09-26,0.6394
2024-09-27,0.68
2024-09-30,0.7475
2024-10-08,0.8319
2024-10-09,0.7661
2024-10-10,0.7643
2024-10-11,0.7282
2024-10-14,0.7458
2024-10-15,0.7279
2024-10-16,0.7127
2024-10-17,0.7105
2024-10-18,0.75
2024-10-21,0.76
2024-10-22,0.7606
2024-10-23,0.7607
2024-10-24,0.7517
2024-10-25,0.7652
2024-10-28,0.7637
2024-10-29,0.7552
2024-10-30,0.7507
2024-10-31,0.7495
2024-11-01,0.7389
2024-11-04,0.7552
2024-11-05,0.7773
2024-11-06,0.7736
2024-11-07,0.7842
2024-11-08,0.7853
2024-11-11,0.81
2024-11-12,0.8073
2024-11-13,0.8156
2024-11-14,0.7948
2024-11-15,0.7737
2024-11-18,0.7557
2024-11-19,0.771
2024-11-20,0.7765
2024-11-21,0.7735
2024-11-22,0.7508
2024-11-25,0.7493
2024-11-26,0.7399
2024-11-27,0.753
2024-11-28,0.7428
2024-11-29,0.7545
2024-12-02,0.7643
2024-12-03,0.7591
2024-12-04,0.7561
2024-12-05,0.7555
2024-12-06,0.7699
2024-12-09,0.7682
2024-12-10,0.7725
2024-12-11,0.7724
2024-12-12,0.7794
2024-12-13,0.7616
