净值日期,累计净值
2017-09-13,1.0
2017-09-15,1.0004
2017-09-22,1.0011
2017-09-29,1.0018
2017-10-09,1.0026
2017-10-10,1.0021
2017-10-11,1.0016
2017-10-12,1.0018
2017-10-13,1.0021
2017-10-16,1.0016
2017-10-17,1.002
2017-10-18,1.0027
2017-10-19,1.0036
2017-10-20,1.0035
2017-10-23,1.0044
2017-10-24,1.0048
2017-10-25,1.0052
2017-10-26,1.0048
2017-10-27,1.0064
2017-10-30,1.0063
2017-10-31,1.0054
2017-11-01,1.0048
2017-11-02,1.004
2017-11-03,1.0031
2017-11-06,1.0045
2017-11-07,1.0044
2017-11-08,1.0047
2017-11-09,1.0051
2017-11-10,1.004
2017-11-13,1.0028
2017-11-14,1.0032
2017-11-15,1.0011
2017-11-16,1.0011
2017-11-17,1.0016
2017-11-20,1.0016
2017-11-21,1.0026
2017-11-22,1.0023
2017-11-24,0.9978
2017-11-27,0.9981
2017-11-28,0.998
2017-11-29,0.9978
2017-11-30,0.9978
2017-12-01,0.9991
2017-12-04,0.9996
2017-12-05,0.9999
2017-12-06,1.0002
2017-12-07,1.0004
2017-12-08,1.0009
2017-12-11,1.0002
2017-12-12,1.0003
2017-12-13,1.0016
2017-12-14,0.999
2017-12-15,0.9996
2017-12-18,1.0001
2017-12-19,0.9993
2017-12-20,0.999
2017-12-21,0.997
2017-12-22,0.9971
2017-12-27,0.9944
2017-12-28,0.9938
2017-12-29,0.9936
2017-12-31,0.9936
2018-01-02,0.9921
2018-01-03,0.9919
2018-01-04,0.9933
2018-01-05,0.9925
2018-01-08,0.9925
2018-01-09,0.9935
2018-01-10,0.9959
2018-01-11,0.995
2018-01-12,0.9931
2018-01-16,0.9883
2018-01-17,0.988
2018-01-18,0.989
2018-01-19,0.987
2018-01-22,0.9868
2018-01-23,0.9858
2018-01-24,0.9846
2018-01-25,0.9826
2018-01-26,0.9796
2018-01-29,0.978
2018-01-30,0.9779
2018-01-31,0.9783
2018-02-01,0.9752
2018-02-02,0.9736
2018-02-05,0.9756
2018-02-06,0.9737
2018-02-07,0.9725
2018-02-08,0.9723
2018-02-09,0.9741
2018-02-12,0.972
2018-02-13,0.9745
2018-02-14,0.9759
2018-02-22,0.9778
2018-02-23,0.9777
2018-02-26,0.9773
2018-02-27,0.9743
2018-02-28,0.9757
2018-03-01,0.9759
2018-03-02,0.9747
2018-03-05,0.9757
2018-03-06,0.9753
2018-03-07,0.9737
2018-03-08,0.9731
2018-03-09,0.9753
2018-03-12,0.9743
2018-03-13,0.9729
2018-03-14,0.9726
2018-03-15,0.9718
