净值日期,累计净值
2001-12-18,1.0
2001-12-21,1.0
2001-12-28,1.0
2002-01-04,1.0
2002-01-11,1.001
2002-01-18,1.0
2002-01-25,1.005
2002-01-30,1.002
2002-01-31,1.002
2002-02-01,1.009
2002-02-04,1.011
2002-02-05,1.012
2002-02-06,1.009
2002-02-07,1.012
2002-02-08,1.012
2002-02-25,1.014
2002-02-26,1.015
2002-02-27,1.015
2002-02-28,1.013
2002-03-01,1.011
2002-03-04,1.013
2002-03-05,1.019
2002-03-06,1.02
2002-03-07,1.026
2002-03-08,1.031
2002-03-11,1.036
2002-03-12,1.03
2002-03-13,1.025
2002-03-14,1.034
2002-03-15,1.025
2002-03-18,1.027
2002-03-19,1.035
2002-03-20,1.039
2002-03-21,1.04
2002-03-22,1.036
2002-03-25,1.036
2002-03-26,1.03
2002-03-27,1.032
2002-03-28,1.032
2002-03-29,1.023
2002-03-31,1.023
2002-04-01,1.024
2002-04-02,1.019
2002-04-03,1.02
2002-04-04,1.03
2002-04-05,1.029
2002-04-08,1.029
2002-04-09,1.041
2002-04-10,1.045
2002-04-11,1.04
2002-04-12,1.042
2002-04-15,1.041
2002-04-16,1.04
2002-04-17,1.042
2002-04-18,1.037
2002-04-19,1.039
2002-04-22,1.037
2002-04-23,1.036
2002-04-24,1.031
2002-04-25,1.033
2002-04-26,1.038
2002-04-29,1.045
2002-04-30,1.046
2002-05-08,1.043
2002-05-09,1.043
2002-05-10,1.042
2002-05-13,1.037
2002-05-14,1.037
2002-05-15,1.034
2002-05-16,1.025
2002-05-17,1.031
2002-05-20,1.025
2002-05-21,1.036
2002-05-22,1.033
2002-05-23,1.035
2002-05-24,1.033
2002-05-27,1.036
2002-05-28,1.037
2002-05-29,1.029
2002-05-30,1.03
2002-05-31,1.027
2002-06-03,1.018
2002-06-04,1.02
2002-06-05,1.012
2002-06-06,1.031
2002-06-07,1.033
2002-06-10,1.03
2002-06-11,1.033
2002-06-12,1.03
2002-06-13,1.024
2002-06-14,1.018
2002-06-17,1.018
2002-06-18,1.028
2002-06-19,1.022
2002-06-20,1.025
2002-06-21,1.042
2002-06-24,1.086
2002-06-25,1.087
2002-06-26,1.092
2002-06-27,1.092
2002-06-28,1.1
2002-06-30,1.1
2002-07-01,1.097
2002-07-02,1.099
2002-07-03,1.099
2002-07-04,1.094
2002-07-05,1.096
2002-07-08,1.099
2002-07-09,1.098
2002-07-10,1.09
2002-07-11,1.089
2002-07-12,1.09
2002-07-15,1.086
2002-07-16,1.085
2002-07-17,1.086
2002-07-18,1.088
2002-07-19,1.09
2002-07-22,1.082
2002-07-23,1.08
2002-07-24,1.079
2002-07-25,1.076
2002-07-26,1.076
2002-07-29,1.078
2002-07-30,1.078
2002-07-31,1.072
2002-08-01,1.074
2002-08-02,1.075
2002-08-05,1.073
2002-08-06,1.077
2002-08-07,1.077
2002-08-08,1.074
2002-08-09,1.07
2002-08-12,1.065
2002-08-13,1.065
2002-08-14,1.07
2002-08-15,1.067
2002-08-16,1.069
2002-08-19,1.069
2002-08-20,1.078
2002-08-21,1.079
2002-08-22,1.085
2002-08-23,1.083
2002-08-26,1.079
2002-08-27,1.083
